updateDate,code,code_name
2026-07-20,600000.SH,浦发银行
2026-07-20,600009.SH,上海机场
2026-07-20,600010.SH,包钢股份
2026-07-20,600011.SH,华能国际
2026-07-20,600015.SH,华夏银行
2026-07-20,600016.SH,民生银行
2026-07-20,600018.SH,上港集团
2026-07-20,600019.SH,宝钢股份
2026-07-20,600023.SH,浙能电力
2026-07-20,600025.SH,华能水电
2026-07-20,600026.SH,中远海能
2026-07-20,600027.SH,华电国际
2026-07-20,600028.SH,中国石化
2026-07-20,600029.SH,南方航空
2026-07-20,600030.SH,中信证券
2026-07-20,600031.SH,三一重工
2026-07-20,600036.SH,招商银行
2026-07-20,600039.SH,四川路桥
2026-07-20,600048.SH,保利发展
2026-07-20,600050.SH,中国联通
2026-07-20,600061.SH,国投资本
2026-07-20,600066.SH,宇通客车
2026-07-20,600085.SH,同仁堂
2026-07-20,600089.SH,特变电工
2026-07-20,600104.SH,上汽集团
2026-07-20,600111.SH,北方稀土
2026-07-20,600115.SH,中国东航
2026-07-20,600118.SH,中国卫星
2026-07-20,600150.SH,中国船舶
2026-07-20,600160.SH,巨化股份
2026-07-20,600176.SH,中国巨石
2026-07-20,600183.SH,生益科技
2026-07-20,600188.SH,兖矿能源
2026-07-20,600196.SH,复星医药
2026-07-20,600219.SH,南山铝业
2026-07-20,600221.SH,海航控股
2026-07-20,600233.SH,圆通速递
2026-07-20,600276.SH,恒瑞医药
2026-07-20,600309.SH,万华化学
2026-07-20,600346.SH,恒力石化
2026-07-20,600362.SH,江西铜业
2026-07-20,600372.SH,中航机载
2026-07-20,600406.SH,国电南瑞
2026-07-20,600415.SH,小商品城
2026-07-20,600426.SH,华鲁恒升
2026-07-20,600436.SH,片仔癀
2026-07-20,600438.SH,通威股份
2026-07-20,600460.SH,士兰微
2026-07-20,600482.SH,中国动力
2026-07-20,600489.SH,中金黄金
2026-07-20,600515.SH,海南机场
2026-07-20,600519.SH,贵州茅台
2026-07-20,600522.SH,中天科技
2026-07-20,600547.SH,山东黄金
2026-07-20,600549.SH,厦门钨业
2026-07-20,600570.SH,恒生电子
2026-07-20,600584.SH,长电科技
2026-07-20,600585.SH,海螺水泥
2026-07-20,600588.SH,用友网络
2026-07-20,600600.SH,青岛啤酒
2026-07-20,600660.SH,福耀玻璃
2026-07-20,600674.SH,川投能源
2026-07-20,600690.SH,海尔智家
2026-07-20,600741.SH,华域汽车
2026-07-20,600760.SH,中航沈飞
2026-07-20,600795.SH,国电电力
2026-07-20,600803.SH,新奥股份
2026-07-20,600809.SH,山西汾酒
2026-07-20,600845.SH,宝信软件
2026-07-20,600875.SH,东方电气
2026-07-20,600886.SH,国投电力
2026-07-20,600887.SH,伊利股份
2026-07-20,600893.SH,航发动力
2026-07-20,600900.SH,长江电力
2026-07-20,600905.SH,三峡能源
2026-07-20,600918.SH,中泰证券
2026-07-20,600919.SH,江苏银行
2026-07-20,600926.SH,杭州银行
2026-07-20,600930.SH,华电新能
2026-07-20,600938.SH,中国海油
2026-07-20,600941.SH,中国移动
2026-07-20,600958.SH,东方证券
2026-07-20,600989.SH,宝丰能源
2026-07-20,600999.SH,招商证券
2026-07-20,601006.SH,大秦铁路
2026-07-20,601009.SH,南京银行
2026-07-20,601012.SH,隆基绿能
2026-07-20,601018.SH,宁波港
2026-07-20,601021.SH,春秋航空
2026-07-20,601058.SH,赛轮轮胎
2026-07-20,601059.SH,信达证券
2026-07-20,601066.SH,中信建投
2026-07-20,601077.SH,渝农商行
2026-07-20,601088.SH,中国神华
2026-07-20,601100.SH,恒立液压
2026-07-20,601111.SH,中国国航
2026-07-20,601117.SH,中国化学
2026-07-20,601127.SH,赛力斯
2026-07-20,601136.SH,首创证券
2026-07-20,601138.SH,工业富联
2026-07-20,601166.SH,兴业银行
2026-07-20,601169.SH,北京银行
2026-07-20,601186.SH,中国铁建
2026-07-20,601211.SH,国泰海通
2026-07-20,601225.SH,陕西煤业
2026-07-20,601229.SH,上海银行
2026-07-20,601238.SH,广汽集团
2026-07-20,601288.SH,农业银行
2026-07-20,601318.SH,中国平安
2026-07-20,601319.SH,中国人保
2026-07-20,601328.SH,交通银行
2026-07-20,601336.SH,新华保险
2026-07-20,601360.SH,三六零
2026-07-20,601377.SH,兴业证券
2026-07-20,601390.SH,中国中铁
2026-07-20,601398.SH,工商银行
2026-07-20,601456.SH,国联民生
2026-07-20,601600.SH,中国铝业
2026-07-20,601601.SH,中国太保
2026-07-20,601607.SH,上海医药
2026-07-20,601618.SH,中国中冶
2026-07-20,601628.SH,中国人寿
2026-07-20,601633.SH,长城汽车
2026-07-20,601658.SH,邮储银行
2026-07-20,601668.SH,中国建筑
2026-07-20,601669.SH,中国电建
2026-07-20,601688.SH,华泰证券
2026-07-20,601689.SH,拓普集团
2026-07-20,601698.SH,中国卫通
2026-07-20,601727.SH,上海电气
2026-07-20,601728.SH,中国电信
2026-07-20,601766.SH,中国中车
2026-07-20,601788.SH,光大证券
2026-07-20,601800.SH,中国交建
2026-07-20,601816.SH,京沪高铁
2026-07-20,601818.SH,光大银行
2026-07-20,601825.SH,沪农商行
2026-07-20,601838.SH,成都银行
2026-07-20,601857.SH,中国石油
2026-07-20,601868.SH,中国能建
2026-07-20,601872.SH,招商轮船
2026-07-20,601877.SH,正泰电器
2026-07-20,601878.SH,浙商证券
2026-07-20,601881.SH,中国银河
2026-07-20,601888.SH,中国中免
2026-07-20,601898.SH,中煤能源
2026-07-20,601899.SH,紫金矿业
2026-07-20,601901.SH,方正证券
2026-07-20,601916.SH,浙商银行
2026-07-20,601919.SH,中远海控
2026-07-20,601939.SH,建设银行
2026-07-20,601985.SH,中国核电
2026-07-20,601988.SH,中国银行
2026-07-20,601995.SH,中金公司
2026-07-20,601998.SH,中信银行
2026-07-20,603019.SH,中科曙光
2026-07-20,603259.SH,药明康德
2026-07-20,603260.SH,合盛硅业
2026-07-20,603288.SH,海天味业
2026-07-20,603296.SH,华勤技术
2026-07-20,603369.SH,今世缘
2026-07-20,603392.SH,万泰生物
2026-07-20,603501.SH,豪威集团
2026-07-20,603799.SH,华友钴业
2026-07-20,603893.SH,瑞芯微
2026-07-20,603986.SH,兆易创新
2026-07-20,603993.SH,洛阳钼业
2026-07-20,605117.SH,德业股份
2026-07-20,605499.SH,东鹏饮料
2026-07-20,688008.SH,澜起科技
2026-07-20,688009.SH,中国通号
2026-07-20,688012.SH,中微公司
2026-07-20,688036.SH,传音控股
2026-07-20,688041.SH,海光信息
2026-07-20,688047.SH,龙芯中科
2026-07-20,688072.SH,拓荆科技
2026-07-20,688082.SH,盛美上海
2026-07-20,688111.SH,金山办公
2026-07-20,688126.SH,沪硅产业
2026-07-20,688183.SH,生益电子
2026-07-20,688223.SH,晶科能源
2026-07-20,688256.SH,寒武纪
2026-07-20,688271.SH,联影医疗
2026-07-20,688303.SH,大全能源
2026-07-20,688396.SH,华润微
2026-07-20,688472.SH,阿特斯
2026-07-20,688506.SH,百利天恒
2026-07-20,688521.SH,芯原股份
2026-07-20,688981.SH,中芯国际
2026-07-20,000001.SZ,平安银行
2026-07-20,000002.SZ,万科A
2026-07-20,000063.SZ,中兴通讯
2026-07-20,000100.SZ,TCL科技
2026-07-20,000157.SZ,中联重科
2026-07-20,000166.SZ,申万宏源
2026-07-20,000301.SZ,东方盛虹
2026-07-20,000333.SZ,美的集团
2026-07-20,000338.SZ,潍柴动力
2026-07-20,000408.SZ,藏格矿业
2026-07-20,000425.SZ,徐工机械
2026-07-20,000538.SZ,云南白药
2026-07-20,000568.SZ,泸州老窖
2026-07-20,000596.SZ,古井贡酒
2026-07-20,000617.SZ,中油资本
2026-07-20,000625.SZ,长安汽车
2026-07-20,000630.SZ,铜陵有色
2026-07-20,000651.SZ,格力电器
2026-07-20,000657.SZ,中钨高新
2026-07-20,000708.SZ,中信特钢
2026-07-20,000725.SZ,京东方A
2026-07-20,000768.SZ,中航西飞
2026-07-20,000776.SZ,广发证券
2026-07-20,000792.SZ,盐湖股份
2026-07-20,000807.SZ,云铝股份
2026-07-20,000858.SZ,五粮液
2026-07-20,000895.SZ,双汇发展
2026-07-20,000938.SZ,紫光股份
2026-07-20,000963.SZ,华东医药
2026-07-20,000975.SZ,山金国际
2026-07-20,000977.SZ,浪潮信息
2026-07-20,000988.SZ,华工科技
2026-07-20,000999.SZ,华润三九
2026-07-20,001280.SZ,中国铀业
2026-07-20,001391.SZ,国货航
2026-07-20,001965.SZ,招商公路
2026-07-20,001979.SZ,招商蛇口
2026-07-20,002001.SZ,新和成
2026-07-20,002027.SZ,分众传媒
2026-07-20,002028.SZ,思源电气
2026-07-20,002049.SZ,紫光国微
2026-07-20,002050.SZ,三花智控
2026-07-20,002074.SZ,国轩高科
2026-07-20,002142.SZ,宁波银行
2026-07-20,002179.SZ,中航光电
2026-07-20,002202.SZ,金风科技
2026-07-20,002230.SZ,科大讯飞
2026-07-20,002236.SZ,大华股份
2026-07-20,002241.SZ,歌尔股份
2026-07-20,002304.SZ,洋河股份
2026-07-20,002311.SZ,海大集团
2026-07-20,002352.SZ,顺丰控股
2026-07-20,002353.SZ,杰瑞股份
2026-07-20,002371.SZ,北方华创
2026-07-20,002384.SZ,东山精密
2026-07-20,002415.SZ,海康威视
2026-07-20,002422.SZ,科伦药业
2026-07-20,002460.SZ,赣锋锂业
2026-07-20,002463.SZ,沪电股份
2026-07-20,002466.SZ,天齐锂业
2026-07-20,002475.SZ,立讯精密
2026-07-20,002493.SZ,荣盛石化
2026-07-20,002532.SZ,天山铝业
2026-07-20,002558.SZ,巨人网络
2026-07-20,002594.SZ,比亚迪
2026-07-20,002600.SZ,领益智造
2026-07-20,002602.SZ,世纪华通
2026-07-20,002625.SZ,光启技术
2026-07-20,002648.SZ,卫星化学
2026-07-20,002709.SZ,天赐材料
2026-07-20,002714.SZ,牧原股份
2026-07-20,002736.SZ,国信证券
2026-07-20,002837.SZ,英维克
2026-07-20,002916.SZ,深南电路
2026-07-20,002920.SZ,德赛西威
2026-07-20,002938.SZ,鹏鼎控股
2026-07-20,003816.SZ,中国广核
2026-07-20,300014.SZ,亿纬锂能
2026-07-20,300015.SZ,爱尔眼科
2026-07-20,300033.SZ,同花顺
2026-07-20,300059.SZ,东方财富
2026-07-20,300122.SZ,智飞生物
2026-07-20,300124.SZ,汇川技术
2026-07-20,300251.SZ,光线传媒
2026-07-20,300274.SZ,阳光电源
2026-07-20,300308.SZ,中际旭创
2026-07-20,300316.SZ,晶盛机电
2026-07-20,300394.SZ,天孚通信
2026-07-20,300408.SZ,三环集团
2026-07-20,300413.SZ,芒果超媒
2026-07-20,300418.SZ,昆仑万维
2026-07-20,300433.SZ,蓝思科技
2026-07-20,300442.SZ,润泽科技
2026-07-20,300450.SZ,先导智能
2026-07-20,300476.SZ,胜宏科技
2026-07-20,300498.SZ,温氏股份
2026-07-20,300502.SZ,新易盛
2026-07-20,300628.SZ,亿联网络
2026-07-20,300661.SZ,圣邦股份
2026-07-20,300750.SZ,宁德时代
2026-07-20,300760.SZ,迈瑞医疗
2026-07-20,300803.SZ,指南针
2026-07-20,300832.SZ,新产业
2026-07-20,300866.SZ,安克创新
2026-07-20,300896.SZ,爱美客
2026-07-20,300999.SZ,金龙鱼
2026-07-20,301165.SZ,锐捷网络
2026-07-20,301236.SZ,软通动力
2026-07-20,301269.SZ,华大九天
2026-07-20,301308.SZ,江波龙
2026-07-20,302132.SZ,中航成飞
