updateDate,code,code_name
2026-07-20,600028.SH,中国石化
2026-07-20,600030.SH,中信证券
2026-07-20,600031.SH,三一重工
2026-07-20,600036.SH,招商银行
2026-07-20,600050.SH,中国联通
2026-07-20,600089.SH,特变电工
2026-07-20,600111.SH,北方稀土
2026-07-20,600150.SH,中国船舶
2026-07-20,600183.SH,生益科技
2026-07-20,600276.SH,恒瑞医药
2026-07-20,600309.SH,万华化学
2026-07-20,600406.SH,国电南瑞
2026-07-20,600519.SH,贵州茅台
2026-07-20,600760.SH,中航沈飞
2026-07-20,600809.SH,山西汾酒
2026-07-20,600887.SH,伊利股份
2026-07-20,600900.SH,长江电力
2026-07-20,600930.SH,华电新能
2026-07-20,601012.SH,隆基绿能
2026-07-20,601088.SH,中国神华
2026-07-20,601127.SH,赛力斯
2026-07-20,601166.SH,兴业银行
2026-07-20,601211.SH,国泰海通
2026-07-20,601288.SH,农业银行
2026-07-20,601318.SH,中国平安
2026-07-20,601328.SH,交通银行
2026-07-20,601398.SH,工商银行
2026-07-20,601600.SH,中国铝业
2026-07-20,601601.SH,中国太保
2026-07-20,601628.SH,中国人寿
2026-07-20,601658.SH,邮储银行
2026-07-20,601668.SH,中国建筑
2026-07-20,601688.SH,华泰证券
2026-07-20,601728.SH,中国电信
2026-07-20,601857.SH,中国石油
2026-07-20,601888.SH,中国中免
2026-07-20,601899.SH,紫金矿业
2026-07-20,601919.SH,中远海控
2026-07-20,601988.SH,中国银行
2026-07-20,603019.SH,中科曙光
2026-07-20,603259.SH,药明康德
2026-07-20,603501.SH,豪威集团
2026-07-20,603986.SH,兆易创新
2026-07-20,603993.SH,洛阳钼业
2026-07-20,688008.SH,澜起科技
2026-07-20,688012.SH,中微公司
2026-07-20,688041.SH,海光信息
2026-07-20,688111.SH,金山办公
2026-07-20,688256.SH,寒武纪
2026-07-20,688981.SH,中芯国际
